,Country,Year,Yearly Average Temperature
32903,Sweden,1950,3.0690000000000004
32904,Switzerland,1950,7.730916666666666
32905,Syria,1950,17.769583333333333
32906,Taiwan,1950,22.03775
32907,Tajikistan,1950,3.2042500000000005
32908,Tanzania,1950,22.073666666666668
32909,Thailand,1950,26.086916666666667
32910,Timor Leste,1950,25.426666666666666
32911,Togo,1950,26.941083333333335
32912,Tonga,1950,23.478416666666664
32913,Trinidad And Tobago,1950,25.967916666666667
32914,Tunisia,1950,20.121750000000002
32915,Turkey,1950,11.466666666666667
32916,Turkmenistan,1950,13.65375
32917,Turks And Caicas Islands,1950,26.359750000000002
32918,Uganda,1950,22.967916666666667
32919,Ukraine,1950,8.020666666666667
32920,United Arab Emirates,1950,27.1305
32921,United Kingdom,1950,8.619166666666667
32922,United Kingdom (Europe),1950,8.811416666666666
32923,United States,1950,8.656416666666667
32924,Uruguay,1950,17.41325
32925,Uzbekistan,1950,11.026166666666667
32926,Venezuela,1950,24.793499999999998
32927,Vietnam,1950,23.944833333333335
32928,Virgin Islands,1950,25.997333333333334
32929,Western Sahara,1950,22.47583333333333
32930,Yemen,1950,25.81566666666667
32931,Zambia,1950,20.847666666666665
32932,Zimbabwe,1950,21.258416666666665
32933,Åland,1950,5.957916666666666
32934,Afghanistan,1951,13.96775
32935,Africa,1951,24.128333333333334
32936,Albania,1951,13.569833333333333
32937,Algeria,1951,23.32166666666667
32938,American Samoa,1951,26.689666666666668
32939,Andorra,1951,10.972916666666668
32940,Angola,1951,22.002166666666668
32941,Anguilla,1951,26.69525
32943,Antigua And Barbuda,1951,26.537750000000003
32944,Argentina,1951,14.836916666666667
32945,Armenia,1951,8.741583333333333
32946,Aruba,1951,28.18166666666667
32947,Asia,1951,7.6673333333333344
32948,Australia,1951,21.557000000000002
32949,Austria,1951,7.079833333333333
32950,Azerbaijan,1951,11.330833333333333
32951,Bahamas,1951,25.075166666666664
32952,Bahrain,1951,26.263416666666668
32953,Baker Island,1951,25.861666666666668
32954,Bangladesh,1951,25.28216666666667
32955,Barbados,1951,26.589833333333335
32956,Belarus,1951,6.356000000000001
32957,Belgium,1951,9.915083333333333
32958,Belize,1951,25.34358333333334
32959,Benin,1951,27.41775
32960,Bhutan,1951,12.278666666666666
32961,Bolivia,1951,20.93133333333333
32962,"Bonaire, Saint Eustatius And Saba",1951,27.406666666666666
32963,Bosnia And Herzegovina,1951,11.706083333333334
32964,Botswana,1951,21.784583333333334
32965,Brazil,1951,24.79733333333333
32966,British Virgin Islands,1951,26.432583333333337
32967,Bulgaria,1951,11.4855
32968,Burkina Faso,1951,28.24716666666667
32969,Burma,1951,23.931166666666666
32970,Burundi,1951,19.903583333333334
32971,Cambodia,1951,26.83566666666667
32972,Cameroon,1951,24.407416666666666
32973,Canada,1951,-5.393166666666666
32974,Cape Verde,1951,24.065916666666666
32975,Cayman Islands,1951,26.77541666666667
32976,Central African Republic,1951,25.342333333333332
32977,Chad,1951,27.030333333333335
32978,Chile,1951,9.574833333333332
32979,China,1951,6.8694999999999995
32980,Christmas Island,1951,25.777583333333336
32981,Colombia,1951,24.811000000000003
32982,Comoros,1951,25.70058333333333
32983,Congo,1951,24.675583333333336
32984,Congo (Democratic Republic Of The),1951,23.882583333333333
32985,Costa Rica,1951,25.949749999999998
32986,Croatia,1951,12.481
32987,Cuba,1951,25.390416666666667
32988,Curaçao,1951,27.613250000000004
32989,Cyprus,1951,19.301
32990,Czech Republic,1951,8.566833333333333
32991,Côte D'Ivoire,1951,26.0575
32992,Denmark,1951,-18.414083333333334
32993,Denmark (Europe),1951,8.296166666666666
32994,Djibouti,1951,28.706666666666667
32995,Dominica,1951,26.202333333333332
32996,Dominican Republic,1951,25.500083333333333
32997,Ecuador,1951,22.012833333333333
32998,Egypt,1951,23.071166666666667
32999,El Salvador,1951,25.193749999999998
33000,Equatorial Guinea,1951,25.158916666666666
33001,Eritrea,1951,26.764666666666667
33002,Estonia,1951,5.086833333333334
33003,Ethiopia,1951,22.899833333333333
33004,Europe,1951,8.2865
33005,Falkland Islands (Islas Malvinas),1951,6.100666666666666
33006,Faroe Islands,1951,6.5305
33007,Federated States Of Micronesia,1951,26.919500000000003
33008,Fiji,1951,24.944916666666668
33009,Finland,1951,1.5998333333333334
33010,France,1951,12.947083333333333
33011,France (Europe),1951,10.534333333333334
33012,French Guiana,1951,26.062250000000002
33013,French Polynesia,1951,26.389
33014,French Southern And Antarctic Lands,1951,5.426083333333334
33015,Gabon,1951,24.494416666666666
33016,Gambia,1951,27.351083333333335
33017,Gaza Strip,1951,19.831416666666666
33018,Georgia,1951,8.437666666666667
33019,Germany,1951,8.816416666666667
33020,Ghana,1951,26.929666666666666
33021,Greece,1951,15.572250000000002
33022,Greenland,1951,-18.963916666666666
33023,Grenada,1951,26.86466666666667
33024,Guadeloupe,1951,26.431583333333332
33025,Guam,1951,27.226
33026,Guatemala,1951,23.493
33027,Guernsey,1951,10.95125
33028,Guinea,1951,25.470166666666668
33029,Guinea Bissau,1951,26.6905
33030,Guyana,1951,26.22575
33031,Haiti,1951,26.196
33032,Heard Island And Mcdonald Islands,1951,3.0080833333333334
33033,Honduras,1951,24.979833333333335
33034,Hong Kong,1951,22.716416666666664
33035,Hungary,1951,10.997166666666667
33036,Iceland,1951,1.1846666666666668
33037,India,1951,24.22066666666667
33038,Indonesia,1951,26.08125
33039,Iran,1951,17.576166666666666
33040,Iraq,1951,22.277666666666665
33041,Ireland,1951,9.229750000000001
33042,Isle Of Man,1951,9.213333333333333
33043,Israel,1951,20.277166666666666
33044,Italy,1951,13.344499999999998
33045,Jamaica,1951,26.142083333333332
33046,Japan,1951,12.146666666666668
33047,Jersey,1951,10.95125
33048,Jordan,1951,20.028666666666666
33049,Kazakhstan,1951,5.319583333333333
33050,Kenya,1951,23.989666666666665
33051,Kingman Reef,1951,27.756833333333336
33052,Kiribati,1951,27.313333333333333
33053,Kuwait,1951,25.565916666666666
33054,Kyrgyzstan,1951,2.808416666666666
33055,Laos,1951,23.725166666666667
33056,Latvia,1951,5.60625
33057,Lebanon,1951,18.16625
33058,Lesotho,1951,13.421833333333332
33059,Liberia,1951,25.45266666666667
33060,Libya,1951,22.695083333333333
33061,Liechtenstein,1951,5.2924999999999995
33062,Lithuania,1951,6.40325
33063,Luxembourg,1951,9.61925
33064,Macau,1951,22.423583333333337
33065,Macedonia,1951,11.428333333333335
33066,Madagascar,1951,22.672749999999997
33067,Malawi,1951,21.4455
33068,Malaysia,1951,26.189916666666665
33069,Mali,1951,28.683333333333334
33070,Malta,1951,18.6765
33071,Martinique,1951,26.202333333333332
33072,Mauritania,1951,27.3685
33073,Mauritius,1951,23.54291666666667
33074,Mayotte,1951,26.329916666666666
33075,Mexico,1951,21.117583333333332
33076,Moldova,1951,10.101416666666667
33077,Monaco,1951,9.32875
33078,Mongolia,1951,-0.7001666666666662
33079,Montenegro,1951,11.411416666666668
33080,Montserrat,1951,26.4875
33081,Morocco,1951,17.59391666666667
33082,Mozambique,1951,23.542083333333334
33083,Namibia,1951,20.619583333333335
33084,Nepal,1951,15.288083333333335
33085,Netherlands,1951,9.962083333333334
33086,Netherlands (Europe),1951,9.571833333333332
33087,New Caledonia,1951,22.578416666666666
33088,New Zealand,1951,10.076333333333332
33089,Nicaragua,1951,26.25
33090,Niger,1951,27.639083333333332
33091,Nigeria,1951,26.753500000000003
33092,Niue,1951,24.888333333333332
33093,North America,1951,1.9306666666666665
33094,North Korea,1951,7.130333333333334
33095,Northern Mariana Islands,1951,27.226
33096,Norway,1951,0.1244999999999999
33097,Oceania,1951,21.386750000000003
33098,Oman,1951,27.093333333333334
33099,Pakistan,1951,20.748583333333332
33100,Palau,1951,27.501500000000004
33101,Palestina,1951,23.337166666666665
33102,Palmyra Atoll,1951,27.7825
33103,Panama,1951,26.487750000000002
33104,Papua New Guinea,1951,24.426416666666668
33105,Paraguay,1951,23.428833333333333
33106,Peru,1951,20.0065
33107,Philippines,1951,26.737
33108,Poland,1951,8.356833333333332
33109,Portugal,1951,14.469416666666667
33110,Puerto Rico,1951,25.595083333333335
33111,Qatar,1951,27.114
33112,Reunion,1951,23.203666666666667
33113,Romania,1951,10.047666666666666
33114,Russia,1951,-5.055916666666667
33115,Rwanda,1951,19.062416666666667
33116,Saint Barthélemy,1951,26.69525
33117,Saint Kitts And Nevis,1951,25.951333333333334
33118,Saint Lucia,1951,26.756583333333335
33119,Saint Martin,1951,26.69525
33120,Saint Pierre And Miquelon,1951,6.2299999999999995
33121,Saint Vincent And The Grenadines,1951,26.892750000000003
33122,Samoa,1951,26.434583333333336
33123,San Marino,1951,14.67675
33124,Sao Tome And Principe,1951,26.046666666666667
33125,Saudi Arabia,1951,26.035916666666665
33126,Senegal,1951,27.828833333333336
33127,Serbia,1951,11.270999999999999
33128,Seychelles,1951,26.877583333333334
33129,Sierra Leone,1951,26.056416666666667
33130,Singapore,1951,26.840000000000003
33131,Sint Maarten,1951,26.69525
33132,Slovakia,1951,8.8405
33133,Slovenia,1951,10.677916666666667
33134,Solomon Islands,1951,26.5625
33135,Somalia,1951,26.92658333333333
33136,South Africa,1951,17.002333333333336
33137,South America,1951,21.934749999999998
33138,South Georgia And The South Sandwich Isla,1951,1.2695833333333333
33139,South Korea,1951,12.228416666666666
33140,Spain,1951,13.347083333333332
33141,Sri Lanka,1951,27.015333333333334
33142,Sudan,1951,26.874416666666665
33143,Suriname,1951,26.486250000000002
33144,Svalbard And Jan Mayen,1951,-8.073083333333335
33145,Swaziland,1951,18.628583333333335
33146,Sweden,1951,2.580666666666666
33147,Switzerland,1951,7.400333333333333
33148,Syria,1951,18.395333333333333
33149,Taiwan,1951,22.156666666666666
33150,Tajikistan,1951,3.8479999999999994
33151,Tanzania,1951,22.22866666666667
33152,Thailand,1951,26.257499999999997
33153,Timor Leste,1951,26.057000000000002
33154,Togo,1951,27.19725
33155,Tonga,1951,22.87675
33156,Trinidad And Tobago,1951,26.259833333333333
33157,Tunisia,1951,20.232916666666668
33158,Turkey,1951,12.062916666666666
33159,Turkmenistan,1951,14.484833333333334
33160,Turks And Caicas Islands,1951,26.357833333333332
33161,Uganda,1951,22.889166666666668
33162,Ukraine,1951,8.413583333333333
33163,United Arab Emirates,1951,27.89366666666667
33164,United Kingdom,1951,8.439
33165,United Kingdom (Europe),1951,8.589166666666666
33166,United States,1951,8.416583333333334
33167,Uruguay,1951,17.33925
33168,Uzbekistan,1951,11.909083333333333
33169,Venezuela,1951,25.358666666666664
33170,Vietnam,1951,23.86366666666667
33171,Virgin Islands,1951,26.432583333333337
33172,Western Sahara,1951,21.95883333333333
33173,Yemen,1951,26.388083333333338
33174,Zambia,1951,21.294166666666666
33175,Zimbabwe,1951,21.102333333333334
33176,Åland,1951,5.820583333333334
33177,Afghanistan,1952,14.175416666666669
33178,Africa,1952,24.275916666666664
33179,Albania,1952,13.573916666666667
33180,Algeria,1952,23.18541666666667
33181,American Samoa,1952,27.06375
33182,Andorra,1952,11.660833333333334
33183,Angola,1952,22.18766666666667
33184,Anguilla,1952,26.86691666666667
33186,Antigua And Barbuda,1952,26.714250000000003
33187,Argentina,1952,14.916333333333332
33188,Armenia,1952,9.209999999999999
33189,Aruba,1952,28.50583333333333
33190,Asia,1952,7.2130833333333335
33191,Australia,1952,21.487
33192,Austria,1952,6.195333333333334
33193,Azerbaijan,1952,11.675833333333335
33194,Bahamas,1952,25.252499999999998
33195,Bahrain,1952,26.158916666666666
33196,Baker Island,1952,25.770583333333335
33197,Bangladesh,1952,25.159166666666668
33198,Barbados,1952,26.93075
33199,Belarus,1952,5.658333333333332
33200,Belgium,1952,9.495083333333334
33201,Belize,1952,25.43375
33202,Benin,1952,27.271666666666665
33203,Bhutan,1952,12.196666666666665
33204,Bolivia,1952,20.806500000000003
33205,"Bonaire, Saint Eustatius And Saba",1952,27.713416666666664
33206,Bosnia And Herzegovina,1952,11.240666666666668
33207,Botswana,1952,22.47141666666667
33208,Brazil,1952,24.85166666666667
33209,British Virgin Islands,1952,26.609083333333334
33210,Bulgaria,1952,11.518500000000001
33211,Burkina Faso,1952,27.98
33212,Burma,1952,24.096833333333333
33213,Burundi,1952,20.279166666666665
33214,Cambodia,1952,26.915333333333336
33215,Cameroon,1952,24.45566666666667
33216,Canada,1952,-3.984666666666667
33217,Cape Verde,1952,24.045
33218,Cayman Islands,1952,26.78408333333333
33219,Central African Republic,1952,25.617416666666667
33220,Chad,1952,27.556
33221,Chile,1952,9.83
33222,China,1952,6.640916666666667
33223,Christmas Island,1952,25.982166666666668
33224,Colombia,1952,25.066166666666664
33225,Comoros,1952,25.96675
33226,Congo,1952,24.678
33227,Congo (Democratic Republic Of The),1952,23.99591666666667
33228,Costa Rica,1952,25.802583333333335
33229,Croatia,1952,11.887583333333332
33230,Cuba,1952,25.471999999999998
33231,Curaçao,1952,27.9465
33232,Cyprus,1952,19.290583333333334
33233,Czech Republic,1952,7.4965
33234,Côte D'Ivoire,1952,26.033416666666668
33235,Denmark,1952,-17.365666666666666
33236,Denmark (Europe),1952,7.3825
33237,Djibouti,1952,28.56625
33238,Dominica,1952,26.543333333333333
33239,Dominican Republic,1952,25.920749999999998
33240,Ecuador,1952,21.894750000000002
33241,Egypt,1952,23.263
33242,El Salvador,1952,25.256333333333334
33243,Equatorial Guinea,1952,25.08725
33244,Eritrea,1952,27.101166666666668
33245,Estonia,1952,4.454833333333333
33246,Ethiopia,1952,23.174666666666667
33247,Europe,1952,7.9264166666666656
33248,Falkland Islands (Islas Malvinas),1952,6.403666666666666
33249,Faroe Islands,1952,6.319083333333334
33250,Federated States Of Micronesia,1952,27.116500000000002
33251,Fiji,1952,25.415000000000003
33252,Finland,1952,1.1404166666666666
33253,France,1952,13.088916666666668
33254,France (Europe),1952,10.686666666666667
33255,French Guiana,1952,26.091333333333335
33256,French Polynesia,1952,26.47375
33257,French Southern And Antarctic Lands,1952,4.846416666666666
33258,Gabon,1952,24.43825
33259,Gambia,1952,27.263499999999997
33260,Gaza Strip,1952,19.943749999999998
33261,Georgia,1952,8.909
33262,Germany,1952,8.006833333333333
33263,Ghana,1952,26.784000000000002
33264,Greece,1952,15.86425
33265,Greenland,1952,-17.874750000000002
33266,Grenada,1952,27.199916666666667
33267,Guadeloupe,1952,26.642
33268,Guam,1952,27.05175
33269,Guatemala,1952,23.527
33270,Guernsey,1952,10.951500000000001
33271,Guinea,1952,25.4695
33272,Guinea Bissau,1952,26.704916666666666
33273,Guyana,1952,26.412000000000003
33274,Haiti,1952,26.539916666666667
33275,Heard Island And Mcdonald Islands,1952,2.4945
33276,Honduras,1952,24.935000000000002
33277,Hong Kong,1952,23.3475
33278,Hungary,1952,10.117416666666667
33279,Iceland,1952,1.4396666666666667
33280,India,1952,24.3655
33281,Indonesia,1952,26.078333333333337
33282,Iran,1952,17.55225
33283,Iraq,1952,22.300750000000004
33284,Ireland,1952,9.37725
33285,Isle Of Man,1952,9.178666666666667
33286,Israel,1952,20.390666666666664
33287,Italy,1952,13.261249999999999
33288,Jamaica,1952,26.360833333333332
33289,Japan,1952,11.939666666666668
33290,Jersey,1952,10.951500000000001
33291,Jordan,1952,20.145
33292,Kazakhstan,1952,4.88525
33293,Kenya,1952,24.389666666666667
33294,Kingman Reef,1952,27.381333333333334
33295,Kiribati,1952,27.08175
33296,Kuwait,1952,25.49291666666667
33297,Kyrgyzstan,1952,3.08175
33298,Laos,1952,23.987666666666666
33299,Latvia,1952,4.965083333333333
33300,Lebanon,1952,18.303250000000002
33301,Lesotho,1952,13.997916666666667
33302,Liberia,1952,25.50616666666667
33303,Libya,1952,22.721083333333336
33304,Liechtenstein,1952,4.672
33305,Lithuania,1952,5.533916666666666
33306,Luxembourg,1952,9.230166666666667
33307,Macau,1952,23.100000000000005
33308,Macedonia,1952,11.411999999999999
33309,Madagascar,1952,22.823916666666666
33310,Malawi,1952,21.3635
33311,Malaysia,1952,26.170666666666666
33312,Mali,1952,28.136
33313,Malta,1952,19.3355
33314,Martinique,1952,26.543333333333333
33315,Mauritania,1952,27.22175
33316,Mauritius,1952,23.549916666666665
33317,Mayotte,1952,26.60925
33318,Mexico,1952,20.887333333333334
33319,Moldova,1952,9.500583333333333
33320,Monaco,1952,9.368416666666667
33321,Mongolia,1952,-1.3803333333333336
33322,Montenegro,1952,11.242166666666668
33323,Montserrat,1952,26.665750000000003
33324,Morocco,1952,17.892750000000003
33325,Mozambique,1952,23.732250000000004
33326,Namibia,1952,20.987166666666667
33327,Nepal,1952,15.285666666666666
33328,Netherlands,1952,9.343083333333334
33329,Netherlands (Europe),1952,8.932083333333333
33330,New Caledonia,1952,23.168499999999998
33331,New Zealand,1952,10.40575
33332,Nicaragua,1952,26.11825
33333,Niger,1952,27.337833333333336
33334,Nigeria,1952,26.701333333333334
33335,Niue,1952,25.49591666666667
33336,North America,1952,2.801083333333333
33337,North Korea,1952,6.7435833333333335
33338,Northern Mariana Islands,1952,27.05175
33339,Norway,1952,-0.3679166666666666
33340,Oceania,1952,21.349666666666668
33341,Oman,1952,26.929750000000002
33342,Pakistan,1952,20.915166666666668
33343,Palau,1952,27.43825
33344,Palestina,1952,23.511083333333332
33345,Palmyra Atoll,1952,27.406333333333336
33346,Panama,1952,26.496583333333334
33347,Papua New Guinea,1952,24.664583333333336
33348,Paraguay,1952,23.25425
33349,Peru,1952,20.02316666666667
33350,Philippines,1952,26.770333333333337
33351,Poland,1952,7.051916666666667
33352,Portugal,1952,14.772
33353,Puerto Rico,1952,25.776916666666665
33354,Qatar,1952,26.952250000000003
33355,Reunion,1952,23.439333333333337
33356,Romania,1952,9.5365
33357,Russia,1952,-6.175250000000001
33358,Rwanda,1952,19.4425
33359,Saint Barthélemy,1952,26.86691666666667
33360,Saint Kitts And Nevis,1952,26.150166666666667
33361,Saint Lucia,1952,27.11916666666667
33362,Saint Martin,1952,26.86691666666667
33363,Saint Pierre And Miquelon,1952,5.8477500000000004
33364,Saint Vincent And The Grenadines,1952,27.257333333333335
33365,Samoa,1952,26.768833333333333
33366,San Marino,1952,14.234499999999999
33367,Sao Tome And Principe,1952,26.041916666666665
33368,Saudi Arabia,1952,25.926583333333337
33369,Senegal,1952,27.63083333333333
33370,Serbia,1952,10.98625
33371,Seychelles,1952,26.861583333333332
33372,Sierra Leone,1952,26.176583333333337
33373,Singapore,1952,26.88716666666667
33374,Sint Maarten,1952,26.86691666666667
33375,Slovakia,1952,7.5183333333333335
33376,Slovenia,1952,9.925333333333333
33377,Solomon Islands,1952,26.740166666666667
33378,Somalia,1952,27.043833333333335
33379,South Africa,1952,17.517500000000002
33380,South America,1952,22.00316666666667
33381,South Georgia And The South Sandwich Isla,1952,1.23825
33382,South Korea,1952,11.979333333333335
33383,Spain,1952,13.794666666666666
33384,Sri Lanka,1952,27.271083333333333
33385,Sudan,1952,27.485333333333333
33386,Suriname,1952,26.586333333333332
33387,Svalbard And Jan Mayen,1952,-7.424833333333333
33388,Swaziland,1952,19.138749999999998
33389,Sweden,1952,1.7794166666666669
33390,Switzerland,1952,7.1410833333333334
33391,Syria,1952,18.633
33392,Taiwan,1952,22.579916666666666
33393,Tajikistan,1952,4.266333333333333
33394,Tanzania,1952,22.427666666666667
33395,Thailand,1952,26.31725
33396,Timor Leste,1952,26.3205
33397,Togo,1952,27.005666666666666
33398,Tonga,1952,23.737250000000003
33399,Trinidad And Tobago,1952,26.5545
33400,Tunisia,1952,20.712416666666666
33401,Turkey,1952,12.527416666666667
33402,Turkmenistan,1952,14.682166666666667
33403,Turks And Caicas Islands,1952,26.775166666666667
33404,Uganda,1952,23.090833333333332
