Country,Year,Yearly Average Temperature,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia
Greenland,1950,-18.12675,2.98,0.99,5.69,0.17,15.92,0.02,43.62
Grenada,1950,26.46075,162.57,22.32,3602.1,229.26,731.53,58.93,344.29
Guadeloupe,1950,25.948166666666665,1497.25,137.3,13881.38,885.15,1763.43,215.08,884.19
Guam,1950,26.87275,0.16,0.04,11.82,0.83,4.41,0.25,0.14
Guatemala,1950,22.90175,22311.93,5062.53,338197.88,18161.66,55539.86,4639.65,20878.64
Guinea,1950,25.32558333333333,4303.69,1369.68,247717.99,12368.08,41722.94,3370.69,17117.2
Guyana,1950,26.023750000000003,13139.84,494.26,52144.72,1774.19,9910.0,420.62,4300.61
Haiti,1950,25.9605,7256.75,1298.92,208808.89,11919.78,44946.88,3127.92,24584.44
Honduras,1950,24.371166666666667,6613.75,1924.6,169932.05,8444.36,26707.05,2197.7,13667.79
Hong Kong,1950,23.04941666666667,8897.95,6407.3,24469.29,281.48,6453.41,384.8,3670.63
Hungary,1950,10.680166666666668,68180.08,516144.59,780665.01,30957.44,113997.6,4673.97,94876.27
Iceland,1950,1.8535000000000004,63267.78,32619.35,16611.42,303.71,7308.93,308.85,2137.6
India,1950,23.659333333333336,436133.41,474064.37,16617313.67,829116.66,2605129.55,265787.39,1472287.64
Indonesia,1950,25.65425,92192.52,77755.31,4417731.93,219347.55,896726.48,60958.96,293140.34
Iran,1950,16.908833333333334,36580.13,84258.05,174054.58,2044.44,308111.75,2736.48,71128.85
Iraq,1950,21.31175,53166.37,41351.94,286933.93,914.54,135032.08,1669.62,23269.98
Ireland,1950,9.461833333333333,44102.72,99034.28,380714.74,15169.52,63144.41,5328.17,51593.34
Israel,1950,19.70975,9752.62,14416.95,28809.52,117.52,10850.25,225.57,4876.63
Italy,1950,13.712583333333336,154981.04,286699.43,2222286.82,38004.05,408226.97,8975.7,277390.13
Jamaica,1950,25.723,4555.09,3296.24,149496.99,4336.47,36976.54,1277.78,11573.67
Japan,1950,12.5895,310079.67,774670.68,1857629.39,29033.71,184367.61,19790.23,405663.71
Jordan,1950,19.401166666666665,1385.11,854.47,8202.21,30.43,2886.36,48.43,1458.82
Kazakhstan,1950,4.267416666666666,223913.71,927111.09,354562.65,10457.79,46366.35,3855.47,14954.24
Kenya,1950,23.94541666666667,15540.97,9030.71,768625.96,20923.33,142244.65,6588.69,60283.93
Kiribati,1950,26.316166666666664,5.72,3.09,953.12,57.3,66.24,17.13,93.24
Kuwait,1950,24.617833333333333,14642.74,6088.7,70140.06,286.46,151534.44,852.31,560.27
Kyrgyzstan,1950,2.6250000000000004,25478.49,82455.89,235759.87,9640.23,41808.34,1134.21,4589.46
Laos,1950,23.7715,7126.53,1881.75,81489.17,5703.88,30817.97,1459.51,17028.58
Latvia,1950,5.77025,30449.49,34193.44,403927.0,15705.87,48295.1,1924.91,19222.25
Lebanon,1950,17.695249999999998,13090.68,12206.6,91453.5,768.44,21437.08,351.18,4084.57
Lesotho,1950,14.00125,1070.33,162.03,98282.98,3822.02,11388.85,1019.02,6476.99
Liberia,1950,25.31916666666667,1928.2,559.21,131550.01,6801.34,22969.17,1867.93,6352.82
Libya,1950,21.88125,2190.6,804.94,48770.26,1890.83,6384.36,541.25,4370.03
Liechtenstein,1950,5.4355,8.05,1.49,851.62,18.1,127.77,2.01,22.45
Lithuania,1950,6.466666666666666,19744.38,33985.71,399305.93,13299.83,77134.07,2347.28,28469.63
Luxembourg,1950,9.560083333333331,4502.62,7429.87,168680.88,739.92,5797.48,490.94,3184.86
Madagascar,1950,22.50666666666667,6668.98,2944.39,339330.96,14827.85,33394.47,4210.64,39198.4
Malawi,1950,21.011083333333332,2502.43,1187.57,264131.63,13886.87,23717.03,3783.23,10180.41
Malaysia,1950,25.91025,3977.62,2197.48,325438.32,11343.49,60856.99,3125.41,28195.84
Mali,1950,27.8955,6038.29,1976.95,319881.93,15482.48,40011.68,4269.59,34961.11
Malta,1950,19.21333333333333,1790.65,2159.52,29475.42,213.01,1708.19,52.68,850.74
Martinique,1950,25.798,939.13,132.5,5654.82,566.93,958.23,99.32,812.0
Mauritania,1950,27.30975,1631.1,383.53,57538.48,2969.87,4832.69,817.48,9596.78
Mauritius,1950,23.366416666666662,4279.06,1484.4,114447.81,1547.46,4611.73,371.56,2260.24
Mexico,1950,21.25675,212452.43,575173.76,3272048.38,97824.68,540401.42,28648.13,186076.35
Moldova,1950,9.625083333333334,43542.45,45764.29,218286.34,8872.94,22413.27,1651.32,19792.9
Mongolia,1950,-0.8249166666666666,16082.15,4842.72,115073.06,2779.36,4601.66,969.01,35518.39
Montenegro,1950,11.558666666666667,510.03,101.35,58004.83,2086.26,8591.1,442.86,907.7
Montserrat,1950,25.984583333333333,26.75,2.11,679.57,44.09,59.44,11.53,104.05
Morocco,1950,17.952916666666667,21676.87,27862.7,632892.72,25428.89,56281.16,7404.9,38941.93
Mozambique,1950,23.407416666666663,10423.67,8022.22,554921.37,16132.17,114053.11,4266.82,39879.34
Namibia,1950,20.434,1752.98,58.74,22305.01,1392.33,3296.08,372.03,12651.09
Nepal,1950,14.65125,13184.86,4894.22,840066.45,34071.28,99094.82,9291.1,45955.86
Netherlands,1950,9.853333333333332,162018.23,212231.44,1457923.52,30303.66,195978.36,16180.06,80786.23
New Caledonia,1950,23.262583333333332,1256.61,1886.63,4056.18,140.15,840.13,57.07,653.88
New Zealand,1950,10.618,37809.77,60220.97,291696.84,3370.46,42115.62,2186.83,63545.11
Nicaragua,1950,25.688,3659.23,1559.58,113730.82,5750.75,17913.88,1480.21,13013.26
Niger,1950,26.735333333333333,2807.74,315.03,97252.54,5395.73,18320.87,1441.34,23569.74
Nigeria,1950,26.672,50213.33,20619.09,2957450.98,124078.07,546607.99,32695.96,212083.06
Niue,1950,25.27725,12.98,1.25,144.75,12.93,43.38,2.76,22.35
North America,1950,1.870416666666667,15351675.83,21898086.84,121234417.0,1417165.38,20167316.84,713650.05,2042402.57
North Korea,1950,7.225499999999999,29300.07,7923.25,1801441.3,25516.79,82687.61,9818.76,35899.22
Norway,1950,0.98375,55197.02,68939.51,321929.9,4847.97,50511.87,2617.64,12998.25
Oceania,1950,21.2035,293935.81,567750.38,1874615.64,39395.64,364047.57,16381.99,300929.09
Oman,1950,26.303833333333333,68.11,0.6,144.41,7.86,163.64,1.36,1067.71
Pakistan,1950,19.694416666666665,60468.34,90739.92,2291481.71,69668.59,308696.01,23090.38,188939.09
Palau,1950,27.049916666666665,20.4,0.58,115.89,11.74,57.46,2.49,18.41
Panama,1950,25.97533333333333,5772.48,3914.24,95496.72,4003.39,21078.12,1015.82,8882.44
Papua New Guinea,1950,24.59358333333333,1476.0,601.92,67159.3,3108.61,11907.6,937.43,6058.27
Paraguay,1950,23.434,5958.46,688.89,158503.75,8637.91,22975.96,2176.2,21464.17
Peru,1950,19.584,46824.64,88692.7,1013356.72,31160.69,148932.45,8883.5,54773.68
Philippines,1950,26.53216666666667,35773.26,79353.5,1106776.88,50488.68,216448.16,13505.44,80313.63
Poland,1950,8.127083333333333,213985.37,932496.88,2488942.57,98476.59,343417.16,49980.96,192017.28
Portugal,1950,15.066083333333331,24782.47,37658.3,399144.64,7509.96,61288.94,2526.44,39690.03
Puerto Rico,1950,25.10833333333333,16406.2,19634.81,133877.56,6757.92,15019.49,1316.7,7210.11
Qatar,1950,26.293000000000003,5712.58,2129.86,30393.17,98.06,23094.25,279.11,73.15
Reunion,1950,23.06941666666667,412.08,191.3,18880.44,553.96,1309.64,203.9,873.41
Romania,1950,9.759,81964.13,138791.82,1124865.01,45138.92,165116.34,6816.09,144278.71
Russia,1950,-5.6089166666666666,1276921.04,3445583.63,15791430.02,705435.18,2346908.64,143039.54,1181825.1
Rwanda,1950,19.259833333333333,1287.76,469.28,181771.6,8250.55,16876.85,2264.55,7614.09
Saint Lucia,1950,26.32733333333333,170.64,21.07,3818.46,290.65,637.73,73.25,348.43
Samoa,1950,26.274583333333336,72.13,36.33,1727.57,140.86,359.93,42.89,398.17
Saudi Arabia,1950,25.359166666666667,31081.85,45974.38,111186.07,498.95,250621.91,1358.33,6662.19
Senegal,1950,27.817083333333333,2979.37,1151.33,205706.32,5609.66,36091.97,1619.03,19430.57
Serbia,1950,11.216416666666667,22085.8,167264.43,344550.12,17608.81,52483.58,3110.35,11845.94
Seychelles,1950,26.50916666666667,28.15,6.73,2578.28,95.65,149.33,42.99,112.6
Sierra Leone,1950,25.940583333333336,2309.72,637.9,151489.46,7365.18,21246.46,2021.46,8747.05
Singapore,1950,26.560166666666664,6532.95,16511.66,63002.65,2344.56,13285.79,850.58,3789.58
Slovakia,1950,8.382249999999999,28802.94,150406.14,222690.1,10494.94,58291.65,1588.57,19802.91
Slovenia,1950,10.637916666666667,58009.1,26953.42,81742.18,2596.42,16049.21,252.01,13146.8
Solomon Islands,1950,26.655,20.1,8.09,1695.57,153.56,277.82,46.32,312.07
Somalia,1950,26.569916666666668,6203.9,658.55,168583.19,8305.37,22228.94,2292.47,39600.96
South Africa,1950,17.451166666666666,252147.23,527680.42,2400953.29,81144.72,358857.33,28282.11,110737.37
South America,1950,21.734916666666667,877442.11,1404981.57,12536143.22,433876.88,2625150.79,126710.59,1172270.58
South Korea,1950,12.339666666666666,15343.15,22407.66,1770769.53,44677.35,66518.65,17702.94,63171.18
Spain,1950,14.23925,150398.67,344697.41,1134894.98,22543.35,120665.98,11100.53,178510.87
Sri Lanka,1950,26.974166666666665,18083.53,16792.1,747657.96,22562.33,96143.26,6004.28,31208.68
Sudan,1950,26.820166666666665,17240.22,3439.1,1132804.44,29739.66,211667.73,8480.98,82867.46
Suriname,1950,26.28383333333333,965.95,331.69,15092.75,559.66,2199.57,153.99,1199.36
Sweden,1950,3.0690000000000004,91174.52,188115.79,544691.74,8229.96,87650.57,5742.59,40357.18
Switzerland,1950,7.730916666666666,41627.65,43328.93,517679.27,9200.39,67002.72,3876.26,60130.26
Syria,1950,17.769583333333333,2833.26,2032.17,12245.97,150.21,5852.44,88.24,9745.89
Taiwan,1950,22.03775,13895.59,101145.8,199460.59,10884.71,47804.86,4977.32,23581.66
Tajikistan,1950,3.2042500000000005,6151.47,13540.98,238216.53,8130.23,36388.99,885.95,4057.15
Tanzania,1950,22.073666666666668,13475.28,3146.5,989211.42,48000.8,135351.17,12858.6,62539.19
Thailand,1950,26.086916666666667,19409.43,8309.64,1114404.88,27346.67,224453.81,8204.35,106105.98
Togo,1950,26.94108333333333,1064.73,224.08,93349.44,3289.65,18930.15,919.08,7315.55
Tonga,1950,23.478416666666664,85.66,62.25,1733.47,83.23,214.89,26.34,199.8
Tunisia,1950,20.12175,8173.41,16941.46,172528.07,5853.57,26132.06,1782.54,16003.53
Turkey,1950,11.466666666666669,48363.38,96062.39,1960074.93,46216.9,302113.01,10186.35,202856.74
Turkmenistan,1950,13.65375,11853.17,14188.4,107964.66,3830.25,11965.17,881.46,2742.31
Uganda,1950,22.967916666666667,10279.52,1738.31,500806.73,25734.93,108926.06,6995.65,42558.22
Ukraine,1950,8.020666666666667,387874.66,1872242.95,3842614.53,126372.61,495939.26,20737.07,438988.32
United Arab Emirates,1950,27.1305,26.86,51.78,12.31,0.69,42.78,0.12,289.95
United Kingdom,1950,8.619166666666667,1278246.08,5009010.85,12565629.02,290809.52,1289933.58,215029.27,201384.12
United States,1950,8.656416666666667,13954548.86,18070600.7,104890167.0,971897.53,16906860.46,595505.71,1475247.84
Uruguay,1950,17.41325,27088.72,20184.42,251890.56,6834.32,33410.07,2129.06,53521.98
Uzbekistan,1950,11.026166666666668,41492.13,370390.42,556226.12,16772.15,32121.69,2028.53,13441.41
Venezuela,1950,24.7935,150581.7,222090.93,1782995.6,14176.5,907043.63,6516.89,39642.16
Vietnam,1950,23.94483333333333,29001.3,11230.19,1217334.36,73745.37,538359.91,19687.78,146915.69
Western Sahara,1950,22.47583333333333,34.07,3.03,1148.78,69.26,47.05,18.31,179.96
Yemen,1950,25.81566666666667,1650.04,215.87,15050.41,171.36,3279.57,44.27,15164.63
Zambia,1950,20.847666666666665,6336.03,559957.51,370604.57,12894.46,57337.85,3695.39,18361.21
Zimbabwe,1950,21.258416666666665,4502.64,5186.54,414352.47,21870.7,50091.62,5841.27,29767.25
Afghanistan,1951,13.96775,22543.15,798.25,420386.77,15181.04,35130.32,4577.78,36392.72
Africa,1951,24.12833333333333,745477.14,1613380.72,21813137.82,853369.68,3466211.12,242220.52,1552789.84
Albania,1951,13.569833333333332,3685.75,4888.08,130224.21,5932.82,15049.07,597.32,9300.76
Algeria,1951,23.32166666666667,22910.32,18532.21,608854.58,22981.18,46097.96,6757.63,22028.18
American Samoa,1951,26.689666666666668,203.67,174.71,504.69,18.16,127.83,9.71,58.41
Angola,1951,22.002166666666668,5482.1,1846.73,528388.67,22878.63,88587.28,6173.77,33848.68
Argentina,1951,14.836916666666667,276566.09,95758.12,2168104.96,31431.33,312735.77,14294.31,265385.53
Armenia,1951,8.741583333333333,4890.81,10929.25,166975.73,6159.18,16125.17,667.55,7252.43
Aruba,1951,28.18166666666667,170.23,174374.8,1248.83,88.91,234.3,36.06,105.72
Asia,1951,7.6673333333333344,2537276.02,5077650.45,82612391.23,2645604.53,12002846.57,917699.0,7412029.81
Australia,1951,21.557,272445.34,522980.87,1612060.74,32453.77,337001.7,13626.4,236517.76
Austria,1951,7.079833333333333,64439.39,138150.38,1137552.58,18281.97,136410.11,5771.94,36374.73
Azerbaijan,1951,11.330833333333333,9847.02,15028.2,332740.25,15529.77,28107.7,1846.18,22679.36
Bahamas,1951,25.075166666666664,404.02,102.71,3253.64,178.51,496.14,47.66,286.29
Bahrain,1951,26.263416666666668,2687.52,307.78,14894.24,35.08,13954.09,67.38,159.87
Bangladesh,1951,25.28216666666667,25889.46,23423.34,1065795.11,47827.54,213347.22,16823.36,154207.05
Barbados,1951,26.58983333333333,5002.59,217.24,14803.84,1008.13,2368.76,226.39,1096.21
Belarus,1951,6.356000000000001,50555.66,195449.47,1252741.97,61544.44,248335.9,8175.69,132612.64
Belgium,1951,9.915083333333332,159723.18,684224.7,1763276.96,41592.8,183103.08,25882.28,53421.57
Belize,1951,25.34358333333334,694.41,44.81,5768.59,158.45,2350.98,39.63,817.57
Benin,1951,27.41775,4061.12,559.46,105468.41,7667.54,29232.82,2103.16,13796.67
Bhutan,1951,12.278666666666666,5472.19,2205.03,29612.69,860.01,27734.78,228.77,11664.54
Bolivia,1951,20.93133333333333,7045.27,2102.79,112829.72,2689.08,20177.06,732.99,25146.13
Botswana,1951,21.78458333333333,999.73,114.04,51690.83,2707.03,6214.93,724.08,9172.16
Brazil,1951,24.79733333333333,253706.74,157911.3,5151682.49,268253.6,852600.24,72542.77,570728.35
British Virgin Islands,1951,26.432583333333337,13.26,1.3,373.37,26.65,34.18,6.87,42.49
Bulgaria,1951,11.4855,30918.85,805254.58,433350.62,21202.19,68217.95,1901.66,79484.04
Burkina Faso,1951,28.24716666666667,5686.77,1540.5,306759.14,15483.49,55873.13,4150.11,27542.82
Burundi,1951,19.903583333333334,1953.05,434.89,172404.66,8150.23,24241.71,2257.64,10757.34
Cambodia,1951,26.83566666666667,10099.36,3610.52,218070.56,12441.68,58167.65,3171.66,30711.93
Cameroon,1951,24.407416666666663,9137.77,1783.37,530625.91,26513.17,69949.31,7043.23,28921.19
Canada,1951,-5.393166666666666,998814.03,3117145.99,10206972.17,209861.75,2141179.06,56077.44,147945.7
Cape Verde,1951,24.065916666666663,114.09,106.87,10471.8,316.64,691.01,118.06,441.98
Cayman Islands,1951,26.77541666666667,12.49,1.11,354.67,23.95,47.98,6.26,30.22
Central African Republic,1951,25.34233333333333,1935.86,529.83,106403.79,5184.2,17899.4,1425.87,8340.22
Chad,1951,27.03033333333333,3753.47,609.49,188609.65,9558.93,20955.55,2578.15,24090.3
Chile,1951,9.574833333333332,48440.11,819855.84,844886.22,25328.22,120502.54,7676.63,42483.04
China,1951,6.8695,600403.41,1207884.05,39337283.28,891803.95,4221016.78,372459.19,3542022.41
Colombia,1951,24.811000000000003,74548.88,51358.28,1089013.56,41881.47,226773.96,11568.43,106226.32
Comoros,1951,25.70058333333333,64.91,28.05,10315.67,643.9,559.36,171.26,531.04
Congo,1951,24.675583333333336,3703.5,1270.05,84864.77,3263.88,14502.04,960.48,3851.65
Costa Rica,1951,25.94975,5839.81,1727.34,125393.91,6047.64,13225.32,1576.58,8548.15
Croatia,1951,12.481,21133.77,94248.4,444405.9,19185.82,45983.66,1784.11,36787.81
Cuba,1951,25.390416666666667,141409.29,70025.03,1626938.04,45430.35,300340.21,11087.35,85607.15
Cyprus,1951,19.301,3591.84,3023.31,31715.57,722.15,3982.61,180.27,3782.29
Denmark,1951,-18.41408333333333,65473.58,81403.49,474679.13,7079.71,79508.81,4750.06,67714.68
Djibouti,1951,28.706666666666667,655.54,267.19,6140.84,222.53,760.2,67.64,359.37
Dominica,1951,26.20233333333333,76.35,11.62,2497.53,136.28,477.37,35.13,249.33
Dominican Republic,1951,25.500083333333333,19920.56,3347.66,303358.98,12220.41,51420.57,2963.34,20282.51
Ecuador,1951,22.012833333333333,9716.39,4093.28,245311.88,10446.32,36583.92,2825.95,24602.5
Egypt,1951,23.071166666666667,123668.83,91793.99,824958.43,27412.26,221949.14,8935.42,78026.23
El Salvador,1951,25.19375,6889.42,2763.54,156207.87,7338.62,46237.68,1907.05,18005.82
Equatorial Guinea,1951,25.158916666666663,233.07,101.43,18098.06,934.73,2856.44,251.87,903.71
Eritrea,1951,26.764666666666667,996.5,152.28,73199.81,3211.58,8509.62,897.85,8561.52
Estonia,1951,5.086833333333334,15819.64,86411.82,263618.29,9237.76,25541.6,1236.72,7238.96
Ethiopia,1951,22.899833333333333,24045.76,3822.08,2022411.61,76459.16,331341.59,21356.7,169605.45
Europe,1951,8.2865,7012502.59,24538842.67,71411229.59,2376463.9,10013880.62,742203.05,4570119.72
Fiji,1951,24.944916666666668,7589.92,1106.0,11856.82,502.54,2974.04,171.74,1768.64
Finland,1951,1.5998333333333334,48617.82,150803.1,959355.58,32453.31,99682.86,4566.54,25047.8
France,1951,12.947083333333332,576315.43,1128000.08,9277201.15,166165.92,1325740.6,79234.01,341760.05
French Guiana,1951,26.06225,72.9,20.0,1505.14,84.73,213.75,22.04,96.95
French Polynesia,1951,26.389,140.39,15.99,2813.48,187.56,274.41,44.36,195.72
Gabon,1951,24.494416666666663,1009.01,333.51,84339.56,4883.88,10971.75,1286.87,2952.82
Gambia,1951,27.35108333333333,311.33,126.62,19000.29,1002.81,1705.56,270.31,1446.7
Georgia,1951,8.437666666666667,17108.85,27389.41,379324.25,16727.84,45961.44,1908.76,27030.2
Germany,1951,8.816416666666667,944340.45,5121405.33,7668442.26,410212.67,1100981.61,68202.74,421904.1
Ghana,1951,26.929666666666662,12694.35,2996.23,469663.29,17535.06,67245.53,4899.88,22469.69
Greece,1951,15.572250000000002,36019.05,223021.77,400669.09,6555.31,68840.33,1629.01,37422.72
Greenland,1951,-18.963916666666663,3.08,1.03,5.71,0.18,19.39,0.02,44.63
Grenada,1951,26.86466666666667,176.63,27.66,3661.11,227.76,750.61,58.5,346.05
Guadeloupe,1951,26.43158333333333,1628.47,144.09,13578.91,898.23,1782.92,215.8,905.47
Guam,1951,27.226,0.16,0.04,11.77,0.83,4.43,0.25,0.14
Guatemala,1951,23.493,22127.0,5084.88,339476.29,18402.42,56382.55,4710.4,21590.94
Guinea,1951,25.470166666666668,3934.93,1092.91,253044.04,12592.67,41852.32,3416.15,17480.58
Guyana,1951,26.22575,13858.63,524.86,53305.34,1831.7,10373.44,434.13,4507.52
Haiti,1951,26.196,7700.1,1424.79,216779.86,12064.47,46540.57,3175.57,25457.48
Honduras,1951,24.979833333333332,7127.41,2158.53,177023.99,8655.98,28539.73,2263.59,14366.05
Hong Kong,1951,22.716416666666664,10369.06,7009.85,28233.18,298.13,7416.47,412.92,3796.45
Hungary,1951,10.997166666666669,82670.39,600657.5,830175.14,32730.4,119780.53,5179.79,98566.08
Iceland,1951,1.1846666666666668,47271.04,26828.26,14737.46,239.15,6132.84,255.48,2219.39
India,1951,24.22066666666667,459353.33,488968.54,17029358.34,842279.87,2666704.85,269798.08,1525357.53
Indonesia,1951,26.08125,87126.14,72613.62,4465767.19,222830.89,899785.4,61673.98,304882.35
Iran,1951,17.576166666666666,35643.69,56523.56,160387.25,1824.97,185577.48,1964.35,73407.32
Iraq,1951,22.277666666666665,50812.62,40459.12,276907.36,903.99,147114.58,1692.2,24062.49
Ireland,1951,9.22975,51572.12,103051.39,415510.19,17064.51,67923.05,5542.99,53048.74
Israel,1951,20.277166666666663,17896.86,26898.56,52732.14,207.16,18355.13,424.04,5447.19
Italy,1951,13.344499999999998,180822.38,342447.88,2326149.66,38374.78,425506.74,10411.81,286650.49
Jamaica,1951,26.14208333333333,6836.71,5946.14,167628.16,4359.99,39912.11,1326.05,11862.13
