Year Range,% Change in Yearly Avg Temp for Brazil,% Change in Yearly Avg Temp for Russia,% Change in Yearly Avg Temp for United States,% Change in Yearly Avg Temp for Canada,% Change in Yearly Avg Temp for India,% Change in Yearly Avg Temp for China,% Change in Yearly Avg Temp for Australia,Years
1989 - 1990,1.6223442572967146,-1.2357044947728122,7.308620641077419,-1.0134691195794963,0.06552899140536936,5.473255291964504,2.254587313324758,1990
1990 - 1991,0.06824948318326399,5.321595028482642,-0.293193533988583,-11.853044156447572,0.5524957089385081,-7.056486816832552,0.5889610801099103,1991
1991 - 1992,-0.1614465611882684,15.724569270710429,-4.606579825146606,11.346009036144581,-0.3653925913738856,-3.3640185050372153,-2.4673057895341524,1992
1992 - 1993,0.4102093618818933,-5.741090093305467,-2.0878574846331945,-10.700458180465615,0.7668358131934387,0.8894181115660797,1.0376494636974594,1993
1993 - 1994,0.39341482092559393,5.986188492814785,4.545753568844131,0.7308114657881633,-0.45987763908992424,8.332831524815413,-0.5862621370176367,1994
1994 - 1995,0.3918731339374583,-36.09839914258009,0.654417316889015,-2.6915269528606913,0.5487777690125607,-3.794245819992878,-0.3408192523159376,1995
1995 - 1996,-0.8475377707050232,53.67658804110539,-6.180116457685846,14.529089082901967,0.02933581664432319,-3.4516229676792944,1.686011644943101,1996
1996 - 1997,0.8745157110250361,-10.681865428591228,4.781441571793027,-14.362330083988253,-1.5942409537482605,5.811949444657217,-1.0720258002866752,1997
1997 - 1998,1.5623726415248043,22.915939330462795,10.555530320236214,-39.64512190318644,2.9445399351279473,9.29101438783819,2.6208155996256997,1998
1998 - 1999,-2.589364536684787,-8.546226310889494,-5.661741745690026,24.762619505987548,-0.3861107838351895,-2.627765933224308,-2.6487436483833178,1999
1999 - 2000,-0.3562495262639382,-5.88194696067776,0.8649524406814988,26.34951354744221,-0.6562628836366712,-7.680452366527435,-1.6081639435896202,2000
2000 - 2001,1.222061265122804,-1.2099435359683153,1.4076357764017966,-22.99683301939518,0.3425449696573887,4.950666037279667,0.38270202214068005,2001
2001 - 2002,1.1602565568708554,-8.189207244655602,0.3125345959617563,40.73277600064518,1.3468572765210147,2.622947222923079,3.065621976727711,2002
2002 - 2003,-0.6950814588958757,-7.035876705406766,-0.6222727812961707,-11.536845322229428,-1.0560082420155654,-3.510497284816347,-0.09126998849849031,2003
2003 - 2004,-0.48592951094804115,17.2392051137105,-0.8978225027976643,27.55754199594074,-0.062204402313722866,2.535894708854034,-0.683664829696537,2004
2004 - 2005,1.213892102837644,-22.153811916992744,2.329109559520748,-32.79110313658447,-0.5649239720582425,-3.8799390619428844,2.736657904675032,2005
2005 - 2006,-1.1198945981554733,36.16027824761177,0.8272120762854513,-25.646643999496288,0.9661671401112367,7.209819923113245,-2.762026772261089,2006
2006 - 2007,0.591762354508772,-37.53761634823989,-1.3735024311995632,65.06672989634849,-0.332227033037395,2.2489934574735666,0.9986039008432815,2007
2007 - 2008,-1.0038439561581443,11.103330438923248,-9.007200338839477,5.770454125710543,-0.9895232911537784,-6.899026876262532,-1.1599423364129282,2008
2008 - 2009,0.7487111542548405,39.42266481784951,2.074159583678536,-3.7289253632889126,3.034772870059272,3.2172083750949834,2.0906524290336703,2009
2009 - 2010,0.8274551035620985,-1.9077067737152356,4.033015641388147,-54.34392696640534,-0.38109756097560227,-3.343150436434249,-2.69899040350807,2010
2010 - 2011,-1.4857190822246595,-24.753442586686838,0.4663925587593163,88.41315382917676,-2.535843784305257,-2.534747905189845,-1.409386346994384,2011
2011 - 2012,1.1332243148384311,14.703936892133573,7.446836359828625,-10.68993791730114,0.9225665302556194,-3.805856034433927,1.1829834152616359,2012
2012 - 2013,-1.4346818748886054,-41.99718075222655,10.096670537819548,-48.355280415508105,3.1347018837295884,31.339417132764204,0.5374696360870863,2013
