,Date,LandAverageTemperature,LandMaxTemperature,LandMinTemperature,LandAndOceanAverageTemperature
1296,1858-01-01,2.739,9.044,-2.692,13.220999999999998
1297,1858-02-01,2.2840000000000003,7.829,-4.1480000000000015,13.29
1298,1858-03-01,4.834,10.44,-1.4700000000000002,14.044
1299,1858-04-01,8.25,13.912,1.041,14.967
1300,1858-05-01,10.851,16.258000000000006,3.8640000000000008,15.541
1301,1858-06-01,12.956,18.968,7.037999999999999,16.172
1302,1858-07-01,13.677,18.561,7.888,16.51
1303,1858-08-01,13.22,18.261,7.2639999999999985,16.489
1304,1858-09-01,11.148,17.559,5.505,15.833
1305,1858-10-01,8.809999999999997,15.071,3.688,15.114
1306,1858-11-01,5.99,9.803,-0.6840000000000002,14.134
1307,1858-12-01,2.444,8.49,-1.965,13.263
1308,1859-01-01,2.015,8.074,-2.7,13.058
1309,1859-02-01,2.611,8.968,-1.858,13.33
1310,1859-03-01,5.023,11.16,-0.4580000000000001,14.104
1311,1859-04-01,8.542,14.225,1.4340000000000002,15.197
1312,1859-05-01,11.456,17.021,5.277,15.868
1313,1859-06-01,13.142,18.285,7.057,16.400000000000002
1314,1859-07-01,13.827,19.444000000000003,7.85,16.494
1315,1859-08-01,13.217,19.201,7.964999999999999,16.45
1316,1859-09-01,11.079999999999998,16.483,5.422999999999999,15.589
1317,1859-10-01,8.834,14.235,2.968,15.062
1318,1859-11-01,5.912000000000001,10.973,-0.0140000000000001,14.094
1319,1859-12-01,3.365,8.254999999999999,-3.422,13.513
1320,1860-01-01,2.077,9.771999999999998,-2.059,13.17
1321,1860-02-01,2.632,8.747,-3.232,13.424
1322,1860-03-01,3.494,11.821,-0.7140000000000001,13.714
1323,1860-04-01,7.76,13.511,1.805,14.861
1324,1860-05-01,11.062,16.822000000000006,4.792000000000002,15.758
1325,1860-06-01,13.271999999999998,19.163,7.212999999999999,16.338
1326,1860-07-01,14.203,18.566,7.45,16.737000000000002
1327,1860-08-01,13.765,18.984,7.068999999999999,16.634
1328,1860-09-01,11.892,16.892000000000003,5.5360000000000005,16.133
1329,1860-10-01,8.712,13.677,2.906,15.076
1330,1860-11-01,5.027,11.012,-0.111,13.922
1331,1860-12-01,1.634,8.556000000000001,-2.5250000000000004,12.828
1332,1861-01-01,0.4040000000000004,7.7429999999999986,-3.256,12.475
1333,1861-02-01,2.137,8.600999999999999,-3.055,12.917000000000002
1334,1861-03-01,4.489,9.786,-2.007,13.824000000000002
1335,1861-04-01,7.486999999999999,12.772,1.372,15.018
1336,1861-05-01,10.515999999999998,15.401000000000002,3.858000000000001,15.489
1337,1861-06-01,13.017,19.299,7.391,16.358
1338,1861-07-01,13.967,19.37,7.803,16.547
1339,1861-08-01,13.656,18.907,7.562999999999999,16.715999999999998
1340,1861-09-01,11.409,17.769000000000005,5.988,15.927
1341,1861-10-01,8.475,15.644,3.277,14.905
1342,1861-11-01,5.707000000000001,12.044,0.41,14.095
1343,1861-12-01,2.894,8.945,-2.191,13.337
1344,1862-01-01,0.685,7.360999999999999,-4.11,12.658
1345,1862-02-01,1.769,7.407,-4.346,13.192
1346,1862-03-01,4.485,11.112,-1.314,14.044
1347,1862-04-01,7.322999999999999,13.955,1.932,14.825
1348,1862-05-01,10.739,17.854000000000006,5.675000000000002,15.708
1349,1862-06-01,12.86,18.539,6.795,16.349
1350,1862-07-01,13.928,20.663,9.21,16.593
1351,1862-08-01,13.188,19.605,8.085999999999999,16.305999999999997
1352,1862-09-01,11.028,18.042,6.122999999999999,15.788
1353,1862-10-01,8.283,15.138,3.245,14.902
1354,1862-11-01,4.792,11.889,0.2439999999999999,13.784
1355,1862-12-01,1.6230000000000002,9.402,-1.747,12.732
1356,1863-01-01,3.0340000000000003,8.462,-1.766,13.296
1357,1863-02-01,3.253,8.908999999999997,-2.1100000000000003,13.634
1358,1863-03-01,4.682,10.352,-0.853,14.005999999999998
1359,1863-04-01,7.930999999999999,14.257,1.642,15.01
1360,1863-05-01,11.081,16.999000000000002,5.917000000000002,15.823
1361,1863-06-01,12.794,18.202,7.925000000000002,16.224
1362,1863-07-01,13.765,18.095,8.307,16.575
1363,1863-08-01,13.294,18.408,7.832999999999998,16.437
1364,1863-09-01,11.23,15.910000000000002,5.439,15.898
1365,1863-10-01,8.235,13.944,3.282,14.978
1366,1863-11-01,5.392,11.351,0.1749999999999999,13.992
1367,1863-12-01,2.651,8.55,-2.5860000000000003,13.356
1368,1864-01-01,1.551,7.071000000000001,-3.848,12.879
1369,1864-02-01,2.506,8.542,-2.8560000000000003,13.275
1370,1864-03-01,4.651,11.747,-0.7250000000000001,13.99
1371,1864-04-01,7.515,13.395,1.665,14.83
1372,1864-05-01,10.956,16.908,4.849,15.851
1373,1864-06-01,13.365,18.457,7.909000000000002,16.490000000000002
1374,1864-07-01,14.162,18.831,7.412999999999999,16.715
1375,1864-08-01,13.434,18.909,7.5459999999999985,16.494
1376,1864-09-01,11.37,17.063000000000002,5.721,15.85
1377,1864-10-01,8.795,15.047,3.2460000000000004,14.972
1378,1864-11-01,5.232,12.502,0.6649999999999999,14.140999999999998
1379,1864-12-01,2.266,8.555,-2.6630000000000003,13.271
1380,1865-01-01,2.975,8.841000000000001,-3.212,13.503
1381,1865-02-01,2.152,8.911,-3.117,13.505999999999998
1382,1865-03-01,4.039,11.582,-0.5920000000000001,13.914
1383,1865-04-01,7.313999999999999,14.276,1.793,14.861
1384,1865-05-01,10.917,16.968,4.8740000000000006,15.755999999999998
1385,1865-06-01,13.214,19.022,7.508999999999999,16.414
1386,1865-07-01,14.22,19.108,8.163,16.749000000000002
1387,1865-08-01,13.58,19.111,7.594999999999999,16.657
1388,1865-09-01,11.797,17.840999999999998,5.789,16.082
1389,1865-10-01,9.136,15.281,3.345,15.157
1390,1865-11-01,6.144,12.418,0.992,14.101
1391,1865-12-01,2.6460000000000004,8.218,-2.5170000000000003,13.26
1392,1866-01-01,2.932,8.187999999999999,-2.923,13.467
1393,1866-02-01,2.274,9.636,-2.053,13.586
1394,1866-03-01,4.421,10.824000000000002,-0.8809999999999999,13.95
1395,1866-04-01,7.914,14.889,2.084,14.713
1396,1866-05-01,10.898,16.817,4.582000000000002,15.63
1397,1866-06-01,12.853,18.753,7.077000000000001,16.596
1398,1866-07-01,14.602,20.369,8.183,17.06
1399,1866-08-01,13.532,18.947,7.087999999999999,16.695
1400,1866-09-01,11.527,17.508000000000006,5.807,15.918
1401,1866-10-01,8.506,14.624,2.994,15.062
1402,1866-11-01,5.8950000000000005,10.76,0.182,14.275
1403,1866-12-01,4.152,8.676,-2.9530000000000003,13.732
1404,1867-01-01,2.482,8.136999999999999,-3.3080000000000003,13.371
1405,1867-02-01,2.664,9.183,-2.172,13.458
1406,1867-03-01,4.4540000000000015,10.572,-1.195,14.073
1407,1867-04-01,8.258,13.852,2.307,15.1
1408,1867-05-01,10.495,16.21,4.665000000000001,15.56
1409,1867-06-01,13.303,19.753,8.032,16.366
1410,1867-07-01,14.223,20.032,8.387,16.672
1411,1867-08-01,13.505999999999998,19.626,7.705999999999999,16.454
1412,1867-09-01,11.763,17.566000000000006,5.9110000000000005,16.147000000000002
1413,1867-10-01,9.212,15.374,3.705,15.318
1414,1867-11-01,6.939,11.143,-0.7959999999999999,14.632
1415,1867-12-01,3.937,8.312999999999999,-3.678,13.553
1416,1868-01-01,1.834,7.611000000000001,-3.478,13.012
1417,1868-02-01,2.039,8.817,-3.455,13.295
1418,1868-03-01,4.538,11.411,-0.63,14.135
1419,1868-04-01,8.183,13.316,1.138,15.082
1420,1868-05-01,11.308,17.059,4.8610000000000015,15.992
1421,1868-06-01,13.162,19.005,7.202999999999999,16.529
1422,1868-07-01,14.514,20.504,8.702,17.025000000000002
1423,1868-08-01,13.744000000000002,19.818,8.120999999999999,16.793
1424,1868-09-01,11.669,17.988000000000003,5.726,16.107
1425,1868-10-01,9.448,14.925,3.0860000000000003,15.376
1426,1868-11-01,5.192,10.181,-0.3500000000000001,14.174
1427,1868-12-01,3.344,8.54,-2.488,13.643
1428,1869-01-01,2.115,8.206,-3.173,13.289
1429,1869-02-01,3.864,9.618,-2.406,13.951
1430,1869-03-01,4.3740000000000006,11.012,-1.3119999999999998,13.947
1431,1869-04-01,7.9209999999999985,13.787,1.297,15.015999999999998
1432,1869-05-01,11.295,17.279,4.3820000000000014,15.896
1433,1869-06-01,13.537,18.871,7.1960000000000015,16.396
1434,1869-07-01,14.337,19.825,7.732,16.667
1435,1869-08-01,14.01,19.663,7.947999999999999,16.711000000000002
1436,1869-09-01,12.247,17.561,5.377000000000001,16.18
1437,1869-10-01,9.006,14.063,1.968,15.171
1438,1869-11-01,5.773,10.418,-0.5090000000000001,14.255
1439,1869-12-01,2.7060000000000004,8.531,-2.519,13.307
1440,1870-01-01,2.082,8.527000000000001,-3.3070000000000004,13.303999999999998
1441,1870-02-01,2.1340000000000003,8.544,-3.527,13.359000000000002
1442,1870-03-01,4.656000000000001,9.692,-1.419,14.139
1443,1870-04-01,7.879,14.287,1.5699999999999998,15.052
1444,1870-05-01,11.339,18.068,5.33,15.826
1445,1870-06-01,13.653,19.531,7.792999999999999,16.511000000000006
1446,1870-07-01,14.599,20.29,8.850999999999997,16.86
1447,1870-08-01,13.484000000000002,19.318,7.973999999999998,16.617
1448,1870-09-01,11.952,17.017000000000003,5.456,16.073
1449,1870-10-01,8.809999999999997,14.188,2.8480000000000003,15.056
1450,1870-11-01,5.6,12.574000000000002,0.629,14.079
1451,1870-12-01,2.228,8.485,-3.1,13.175999999999998
1452,1871-01-01,1.4469999999999998,7.962000000000001,-2.9370000000000003,13.089
1453,1871-02-01,1.736,8.782,-3.0610000000000004,13.299
1454,1871-03-01,4.6850000000000005,11.047,-1.75,14.223
1455,1871-04-01,8.34,13.97,1.89,15.233
1456,1871-05-01,10.787999999999998,16.627000000000002,4.525,15.77
1457,1871-06-01,13.08,19.127,7.4700000000000015,16.458000000000002
1458,1871-07-01,14.29,19.837,7.927,16.858
1459,1871-08-01,13.932,19.812,7.898,16.653000000000002
1460,1871-09-01,11.711,17.394000000000002,5.037,16.02
1461,1871-10-01,9.096,14.697,2.891,15.061
1462,1871-11-01,5.113,10.639,-0.3169999999999999,13.972
1463,1871-12-01,3.1630000000000003,7.912000000000001,-3.677,13.435
1464,1872-01-01,1.652,8.228,-3.228,13.041
1465,1872-02-01,2.35,8.953,-3.26,13.376
1466,1872-03-01,4.922,11.159,-2.156,14.107
1467,1872-04-01,7.845999999999999,14.041,1.464,14.969
1468,1872-05-01,11.198,17.369,5.046,15.927
1469,1872-06-01,13.055,19.299,7.564,16.361
1470,1872-07-01,14.285,19.705,7.883999999999999,16.843
1471,1872-08-01,13.821,19.415,7.450999999999999,16.822
1472,1872-09-01,11.957999999999998,17.718,5.938,16.173000000000002
1473,1872-10-01,9.24,15.715,3.025,15.181
1474,1872-11-01,5.372000000000001,11.293,-0.0609999999999999,14.101
1475,1872-12-01,2.627,8.526,-3.418,13.331
1476,1873-01-01,2.013,8.285,-3.4400000000000004,13.353
1477,1873-02-01,3.195,8.591000000000001,-3.719,13.707
1478,1873-03-01,4.704,11.105,-1.761,14.151
1479,1873-04-01,7.462000000000001,13.983,1.069,14.879
1480,1873-05-01,11.005999999999998,16.765,4.202,15.821
1481,1873-06-01,13.405,19.006,6.783,16.429000000000002
1482,1873-07-01,14.287,19.974,8.024,16.805
1483,1873-08-01,13.755,19.241,7.446999999999999,16.726
1484,1873-09-01,11.486999999999998,16.979000000000006,5.297999999999999,15.965
1485,1873-10-01,9.234,14.431,2.386,15.13
1486,1873-11-01,5.819,10.914,-0.8119999999999998,14.094
1487,1873-12-01,3.846,8.847999999999997,-2.628,13.531
1488,1874-01-01,2.685,7.382999999999999,-3.764,13.392
1489,1874-02-01,3.069,7.962000000000001,-3.2300000000000004,13.458
1490,1874-03-01,4.221,8.948,-1.942,13.807
1491,1874-04-01,8.231,13.237,1.005,14.91
1492,1874-05-01,11.306,16.969,4.667000000000002,15.75
1493,1874-06-01,13.306,19.062,6.857,16.211000000000002
1494,1874-07-01,14.122,19.82,7.487999999999999,16.745
1495,1874-08-01,13.815,19.618,7.228999999999999,16.645
1496,1874-09-01,12.111,17.704,5.632000000000001,16.122
1497,1874-10-01,9.12,15.841,3.025,15.005
1498,1874-11-01,5.809,10.563,-0.5490000000000002,14.013
1499,1874-12-01,3.407,9.495,-1.6780000000000002,13.425999999999998
1500,1875-01-01,1.533,6.678999999999999,-4.7170000000000005,13.027
1501,1875-02-01,2.259,7.5219999999999985,-4.365,13.35
1502,1875-03-01,4.256,10.673,-2.207,13.974
1503,1875-04-01,7.635999999999999,13.759,1.1740000000000002,14.923
1504,1875-05-01,10.746,17.509,4.163,15.792
1505,1875-06-01,13.157,19.603,6.497000000000001,16.358
1506,1875-07-01,14.144,20.534,7.872999999999998,16.683
1507,1875-08-01,13.401,20.053,7.326999999999999,16.637999999999998
1508,1875-09-01,11.319,17.713,5.172999999999999,16.059
1509,1875-10-01,8.584999999999999,14.754,2.205,15.125
1510,1875-11-01,4.614,10.56,-1.3509999999999998,13.905
1511,1875-12-01,2.665,8.741999999999999,-2.402,13.229
1512,1876-01-01,1.856,7.327000000000001,-3.325,13.1
1513,1876-02-01,2.617,8.895,-3.095,13.496
1514,1876-03-01,4.748,10.247,-1.711,14.047
1515,1876-04-01,8.199,14.188,1.814,14.95
1516,1876-05-01,10.69,16.783,4.7280000000000015,15.57
1517,1876-06-01,13.130999999999998,18.888,6.7700000000000005,16.290000000000006
1518,1876-07-01,14.319,19.855,7.891,16.848
1519,1876-08-01,13.481,19.665,7.549999999999999,16.579
1520,1876-09-01,11.687,17.667,5.687,15.89
1521,1876-10-01,8.946,14.4,2.766,15.047
1522,1876-11-01,5.093,10.498,-0.6530000000000002,13.903
1523,1876-12-01,2.194,8.805,-2.806,13.193
1524,1877-01-01,2.286,8.078999999999999,-3.1620000000000004,13.306
1525,1877-02-01,2.928,9.755,-2.357,13.732
1526,1877-03-01,5.297000000000001,10.782,-1.4780000000000002,14.459
1527,1877-04-01,8.039,13.827,2.032,15.126
1528,1877-05-01,11.056,16.802,5.022,15.854
1529,1877-06-01,13.384,19.257,6.875,16.594
1530,1877-07-01,14.642,20.733,8.18,17.004
1531,1877-08-01,14.151,20.643,7.786,17.076
1532,1877-09-01,12.075,17.930999999999997,5.9670000000000005,16.437
1533,1877-10-01,9.273,14.324000000000002,2.704,15.536
1534,1877-11-01,6.348,11.54,0.7889999999999999,14.564
1535,1877-12-01,2.9960000000000004,9.491,-0.5750000000000002,13.704
1536,1878-01-01,2.0170000000000003,8.277999999999999,-3.083,13.537999999999998
1537,1878-02-01,3.728,9.483,-1.7140000000000002,14.177
1538,1878-03-01,6.6080000000000005,12.343,0.3609999999999999,14.882
1539,1878-04-01,8.899,15.041,2.963,15.573
1540,1878-05-01,11.017,16.945999999999998,5.090000000000002,16.016
1541,1878-06-01,13.796,19.356,7.461,16.711000000000002
1542,1878-07-01,14.742,20.299,8.582,16.999000000000002
1543,1878-08-01,14.094,20.308,8.074,16.905
1544,1878-09-01,12.093,17.827,6.1,16.267
1545,1878-10-01,9.173,15.255,3.506,15.307
1546,1878-11-01,6.446000000000001,12.502,0.6859999999999999,14.388
1547,1878-12-01,3.344,9.268,-2.246,13.526
1548,1879-01-01,2.303,8.558,-3.3110000000000004,13.349
1549,1879-02-01,2.737,8.69,-3.0810000000000004,13.63
1550,1879-03-01,4.924,10.686,-1.3890000000000002,14.34
1551,1879-04-01,7.767999999999999,14.201,1.986,14.987
1552,1879-05-01,10.803,16.752000000000002,4.5360000000000005,15.807
1553,1879-06-01,13.23,19.022,7.018000000000002,16.500999999999998
1554,1879-07-01,14.238,19.637,7.64,16.746000000000002
1555,1879-08-01,13.245,19.125,7.289999999999999,16.635
1556,1879-09-01,11.449000000000002,17.652,5.542000000000001,16.007
1557,1879-10-01,9.229,14.744000000000002,2.747,15.25
1558,1879-11-01,5.526,11.549,-0.5,14.203
1559,1879-12-01,2.5380000000000003,8.173,-3.531,13.318
1560,1880-01-01,1.755,7.882999999999999,-3.37,13.129
1561,1880-02-01,2.052,7.957000000000001,-3.767,13.407
1562,1880-03-01,4.63,10.655,-1.814,14.273
1563,1880-04-01,7.558999999999998,14.082,1.2979999999999998,15.008
1564,1880-05-01,11.095999999999998,16.917,4.877000000000002,15.85
1565,1880-06-01,13.327,19.29,6.597,16.400000000000002
1566,1880-07-01,14.140999999999998,20.037,7.852,16.687
1567,1880-08-01,13.807,19.502,7.555,16.695
1568,1880-09-01,11.386,17.558000000000003,5.84,15.918
1569,1880-10-01,8.673,14.567,2.8960000000000004,15.024
1570,1880-11-01,5.893,10.826,-0.6540000000000001,14.233
1571,1880-12-01,3.1060000000000003,7.6869999999999985,-2.657,13.48
1572,1881-01-01,2.4610000000000003,7.3439999999999985,-3.687,13.396
1573,1881-02-01,2.6260000000000003,8.594,-2.813,13.625
1574,1881-03-01,5.01,10.925999999999998,-1.131,14.355
1575,1881-04-01,8.322999999999999,14.297,2.291,15.267
1576,1881-05-01,11.165,17.283,5.263000000000001,15.999
1577,1881-06-01,12.745,18.946,6.801,16.329
1578,1881-07-01,14.203,20.295,8.334,16.783
1579,1881-08-01,13.71,19.879,8.046999999999999,16.665
1580,1881-09-01,11.689,17.430000000000003,5.876,15.982
1581,1881-10-01,8.850999999999997,14.232,2.9360000000000004,15.115
1582,1881-11-01,5.272,10.781,-0.203,14.019
1583,1881-12-01,3.196,8.597999999999999,-2.5970000000000004,13.511
1584,1882-01-01,2.99,8.392000000000001,-3.022,13.632
1585,1882-02-01,3.2310000000000003,8.754,-3.067,13.843
1586,1882-03-01,5.04,10.794,-1.411,14.339
1587,1882-04-01,7.690999999999999,13.713,1.7519999999999998,15.031
1588,1882-05-01,10.888,16.830000000000002,4.8870000000000005,15.816
1589,1882-06-01,12.805,18.941,7.032,16.355999999999998
1590,1882-07-01,13.747,19.773,7.965,16.634
1591,1882-08-01,13.703,19.832,7.8359999999999985,16.678
1592,1882-09-01,11.736,17.769000000000005,5.891,16.108
1593,1882-10-01,8.445,14.595999999999998,2.784,15.022
1594,1882-11-01,5.066,11.404000000000002,-0.581,14.033
1595,1882-12-01,2.205,8.573,-2.795,13.187
1596,1883-01-01,1.4600000000000002,7.063999999999999,-4.519,13.106
1597,1883-02-01,1.856,7.54,-4.303000000000001,13.358
1598,1883-03-01,4.928999999999999,10.123,-2.0940000000000003,14.236
1599,1883-04-01,7.690999999999999,13.967,1.4680000000000002,14.916
1600,1883-05-01,10.832,16.898,4.793,15.825
1601,1883-06-01,13.302,20.049,7.303,16.512
1602,1883-07-01,14.011,20.457,7.7189999999999985,16.664
1603,1883-08-01,13.224,19.591,7.463999999999999,16.538
1604,1883-09-01,11.343,17.663,5.299,15.956
1605,1883-10-01,8.908999999999997,14.621,2.6710000000000003,15.054
1606,1883-11-01,4.905,10.987,-0.436,13.943
1607,1883-12-01,3.261,8.587,-2.803,13.451
1608,1884-01-01,2.12,7.566999999999998,-4.118,13.279000000000002
1609,1884-02-01,2.474,8.292,-3.841,13.6
1610,1884-03-01,3.892,10.552,-2.444,13.914
1611,1884-04-01,7.185999999999999,13.58,0.6990000000000001,14.744000000000002
1612,1884-05-01,10.198,16.465999999999998,3.9890000000000008,15.558
1613,1884-06-01,12.527,18.787,6.362,16.185000000000002
1614,1884-07-01,13.622,19.569000000000003,7.468,16.434
1615,1884-08-01,13.257,19.318,7.250999999999999,16.408
1616,1884-09-01,11.235,17.365000000000002,5.365,15.826
1617,1884-10-01,8.581,14.304,2.587,14.954
1618,1884-11-01,5.164,10.464,-0.991,13.827
1619,1884-12-01,3.028,8.041,-2.5540000000000003,13.27
1620,1885-01-01,1.003,6.420999999999999,-4.621,12.889
1621,1885-02-01,2.2430000000000003,8.247,-3.438,13.327
1622,1885-03-01,4.622,10.56,-2.023,14.021
1623,1885-04-01,7.3359999999999985,13.483,1.352,14.747
1624,1885-05-01,10.567,16.704,4.202,15.565
1625,1885-06-01,12.716,18.762,6.492000000000001,16.105
1626,1885-07-01,13.972,20.205,7.627999999999999,16.601
1627,1885-08-01,13.351,19.889,7.087000000000001,16.438
1628,1885-09-01,11.435,17.317,5.28,15.907
1629,1885-10-01,8.722000000000001,14.707,2.547,15.054
1630,1885-11-01,5.425,11.488,-0.476,14.057
1631,1885-12-01,3.644,9.156,-1.539,13.542
1632,1886-01-01,1.436,7.023,-3.755,13.001
1633,1886-02-01,1.793,8.015,-3.884,13.175999999999998
1634,1886-03-01,4.2620000000000005,10.568,-2.188,13.888
1635,1886-04-01,7.909,14.085,1.367,14.841
1636,1886-05-01,10.784,17.195999999999998,4.4220000000000015,15.837
1637,1886-06-01,12.789,19.145,6.5600000000000005,16.197000000000006
1638,1886-07-01,14.226,20.004,8.055,16.622
1639,1886-08-01,13.323,19.344,7.449,16.458000000000002
1640,1886-09-01,11.6,17.419,5.62,15.831
1641,1886-10-01,8.604,14.735,2.58,14.979
1642,1886-11-01,5.226,11.208,-0.71,13.877
1643,1886-12-01,3.502,8.616,-1.862,13.316
1644,1887-01-01,0.8240000000000001,6.863999999999999,-4.678000000000001,12.62
1645,1887-02-01,2.0540000000000003,8.142999999999999,-4.0470000000000015,13.095999999999998
1646,1887-03-01,4.552,10.828,-1.901,13.946
1647,1887-04-01,7.789,13.936,1.524,14.941
1648,1887-05-01,10.84,17.337,4.569000000000001,15.651
1649,1887-06-01,12.89,18.431,6.513999999999999,16.214000000000002
1650,1887-07-01,14.021,19.899,8.199,16.63
1651,1887-08-01,13.097,19.177,7.390999999999999,16.372
1652,1887-09-01,11.707,17.392000000000003,5.7010000000000005,15.916
1653,1887-10-01,8.738,14.716,2.531,14.983
1654,1887-11-01,5.5920000000000005,11.66,-0.2640000000000001,14.037
1655,1887-12-01,2.875,8.298,-2.656,13.386
1656,1888-01-01,1.7080000000000002,6.685999999999999,-4.299,13.132
1657,1888-02-01,2.039,7.898,-3.555,13.32
